gender,event,medal,athlete,abb,country,type,year
Women,1500 m B1,Silver,HURD Cheryl,CAN,Canada,Athletics,1984
Women,1500 m B1,Bronze,WITTJE Susanne,FRG,Germany,Athletics,1984
Women,1500 m B2,Gold,NICHOLAS Christine,CAN,Canada,Athletics,1984
Women,1500 m B2,Bronze,ZALENSKA Malgorzata,POL,Poland,Athletics,1984
Women,1500 m B3,Gold,WOZNIAK Halina,POL,Poland,Athletics,1984
Women,1500 m B3,Silver,GOOD Norah,CAN,Canada,Athletics,1984
Women,1500 m B3,Bronze,WATTS Wanda,USA,USA,Athletics,1984
Women,1500 m 2,Silver,MOORE B.,USA,USA,Athletics,1984
Women,1500 m 2,Bronze,LYFORD Glee,USA,USA,Athletics,1984
Women,1500 m 3,Silver,BEYER G.,FRG,Germany,Athletics,1984
Women,1500 m 4,Gold,SAKER M.,SWE,Sweden,Athletics,1984
Women,1500 m 4,Bronze,NORMAN S.,USA,USA,Athletics,1984
Women,1500 m 5,Gold,IERETTI A.,CAN,Canada,Athletics,1984
Women,1500 m 5,Silver,ORVEFORS A.,SWE,Sweden,Athletics,1984
Women,3000 m B1,Gold,HURD Cheryl,CAN,Canada,Athletics,1984
Women,3000 m B1,Bronze,REYNALDS Prue-Anne,AUS,Australia,Athletics,1984
Women,3000 m B2,Gold,NICHOLAS Christine,CAN,Canada,Athletics,1984
Women,3000 m B2,Silver,ZALENSKA Malgorzata,POL,Poland,Athletics,1984
Women,3000 m B2,Bronze,SERRAT Maria,USA,USA,Athletics,1984
Women,3000 m B3,Gold,GOOD Norah,CAN,Canada,Athletics,1984
Women,3000 m B3,Silver,WOZNIAK Halina,POL,Poland,Athletics,1984
Women,3000 m B3,Bronze,UMBACH Kim,CAN,Canada,Athletics,1984
Women,5000 m 2,Silver,MOORE B.,USA,USA,Athletics,1984
Women,5000 m 2,Bronze,SCHIFF J.,USA,USA,Athletics,1984
Women,5000 m 3,Gold,BEYER G.,FRG,Germany,Athletics,1984
Women,5000 m 4,Gold,NORMAN S.,USA,USA,Athletics,1984
Women,5000 m 4,Bronze,RANDLES J.,AUS,Australia,Athletics,1984
Women,5000 m 5,Gold,IERETTI A.,CAN,Canada,Athletics,1984
Women,Marathon 2,Gold,SCHIFF J.,USA,USA,Athletics,1984
Women,Marathon 3,Gold,BEYER G.,FRG,Germany,Athletics,1984
Women,Marathon 3,Silver,RUSSELL Julie,AUS,Australia,Athletics,1984
Women,Marathon 3,Bronze,SMITH D.,GBR,Great Britain,Athletics,1984
Women,Marathon 4,Gold,RANDLES J.,AUS,Australia,Athletics,1984
Women,Marathon 4,Bronze,NORMAN S.,USA,USA,Athletics,1984
Women,Cross Country 1000 m C6,Bronze,METZ Katrin,FRG,Germany,Athletics,1984
Women,Cross Country 1000 m C7,Gold,MOUCHA Susan,USA,USA,Athletics,1984
Women,Cross Country 1000 m C7,Silver,SCHMID Susanne,FRG,Germany,Athletics,1984
Women,Cross Country 1000 m C8,Gold,WOODCOCK Brenda,GBR,Great Britain,Athletics,1984
Women,Cross Country 1000 m C8,Silver,ROBERTS Ann Marie,USA,USA,Athletics,1984
Women,Cross Country 1000 m C8,Bronze,HEARN Deborah,USA,USA,Athletics,1984
Women,Slalom 1B,Gold,ROSENBAUM Ruth,USA,USA,Athletics,1984
Women,Slalom 1C,Gold,SIMPSON Tham,CAN,Canada,Athletics,1984
Women,Slalom C1,Gold,GAYNOR Maureen,USA,USA,Athletics,1984
Women,Slalom C1,Silver,COLEMAN Lynette,AUS,Australia,Athletics,1984
Women,Slalom C2,Gold,ANDERSON Nancy,USA,USA,Athletics,1984
Women,Slalom C2,Silver,SMITH Valerie,GBR,Great Britain,Athletics,1984
Women,Slalom C2,Bronze,PIEPERREK Ursula,FRG,Germany,Athletics,1984
Women,Slalom C3,Gold,HARPER Aileen,GBR,Great Britain,Athletics,1984
Women,Slalom C3,Silver,TROTMAN Anne,GBR,Great Britain,Athletics,1984
Women,Slalom C4,Gold,FOX Clovee,GBR,Great Britain,Athletics,1984
Women,Slalom C4,Silver,BLALARK Joan,USA,USA,Athletics,1984
Women,Slalom C4,Bronze,BROWN Cathy,USA,USA,Athletics,1984
Women,Slalom 2,Silver,QUELL Margit,FRG,Germany,Athletics,1984
Women,Slalom 3,Bronze,DILORENZO J.,USA,USA,Athletics,1984
Women,Slalom 4,Bronze,CARLTON Kathryne Lynne,USA,USA,Athletics,1984
Women,Slalom (Leg) C2,Gold,MISCIAGNA Laura,CAN,Canada,Athletics,1984
Women,Slalom (Leg) C2,Silver,BROOKS Maria,GBR,Great Britain,Athletics,1984
Women,High Jump A6,Gold,BUDDELMEYER Petra,FRG,Germany,Athletics,1984
Women,High Jump A6,Silver,HOLLEY Julie,USA,USA,Athletics,1984
Women,High Jump B1,Gold,WELSBY Catherine,GBR,Great Britain,Athletics,1984
Women,High Jump B1,Silver,KROES Vera,NED,Netherlands,Athletics,1984
Women,High Jump B1,Bronze,VAN RIJSWIJK Joke,NED,Netherlands,Athletics,1984
Women,High Jump B2,Gold,ROWLEY Janet,USA,USA,Athletics,1984
Women,High Jump B2,Silver,MURPHY Margaret,AUS,Australia,Athletics,1984
Women,High Jump B3,Gold,HOUGHTON Melba,USA,USA,Athletics,1984
Women,High Jump B3,Silver,ZHAO Jihong,CHN,China,Athletics,1984
Women,Long Jump A2,Gold,WOODBRIDGE Valerie,AUS,Australia,Athletics,1984
Women,Long Jump A2,Bronze,BARRER Cheril,CAN,Canada,Athletics,1984
Women,Long Jump A6,Gold,BUDDELMEYER Petra,FRG,Germany,Athletics,1984
Women,Long Jump A6,Bronze,MIELECH Zofia,POL,Poland,Athletics,1984
Women,Long Jump B1,Gold,VAN RIJSWIJK Joke,NED,Netherlands,Athletics,1984
Women,Long Jump B1,Silver,BUSCHBECK Ursula,FRG,Germany,Athletics,1984
Women,Long Jump B1,Bronze,WELSBY Catherine,GBR,Great Britain,Athletics,1984
Women,Long Jump B2,Gold,PING Yali,CHN,China,Athletics,1984
Women,Long Jump B2,Bronze,MURPHY Margaret,AUS,Australia,Athletics,1984
Women,Long Jump B3,Gold,ZHAO Jihong,CHN,China,Athletics,1984
Women,Long Jump B3,Silver,BISHOP Beth,USA,USA,Athletics,1984
Women,Long Jump C7,Gold,BOGIE Heike,FRG,Germany,Athletics,1984
Women,Long Jump C7,Silver,ROCHETTE Veronique,FRA,France,Athletics,1984
Women,Long Jump C7,Bronze,BOUW Joanne,CAN,Canada,Athletics,1984
Women,Shot Put 1B,Silver,BARR Isabel,GBR,Great Britain,Athletics,1984
Women,Shot Put 1B,Bronze,NEIL D.,GBR,Great Britain,Athletics,1984
Women,Shot Put 1C,Silver,ZELMAN Judy,CAN,Canada,Athletics,1984
Women,Shot Put A1,Gold,DAVIDSON Karen,GBR,Great Britain,Athletics,1984
Women,Shot Put A1,Silver,TOMASZEWSKA Barbara,POL,Poland,Athletics,1984
Women,Shot Put A2,Gold,BALTA Stephania,CAN,Canada,Athletics,1984
Women,Shot Put A2,Silver,SMITH Donna,AUS,Australia,Athletics,1984
Women,Shot Put A2,Bronze,WOODBRIDGE Valerie,AUS,Australia,Athletics,1984
Women,Shot Put A4,Gold,FARMER Karen,USA,USA,Athletics,1984
Women,Shot Put A6,Gold,MIELECH Zofia,POL,Poland,Athletics,1984
Women,Shot Put A6,Silver,JOSCELYNE Barbara,GBR,Great Britain,Athletics,1984
Women,Shot Put B1,Gold,KROES Vera,NED,Netherlands,Athletics,1984
Women,Shot Put B1,Silver,BOHNING Ilse,FRG,Germany,Athletics,1984
Women,Shot Put B1,Bronze,OTTO-LANGE Brigitte,FRG,Germany,Athletics,1984
Women,Shot Put B2,Gold,ROWLEY Janet,USA,USA,Athletics,1984
Women,Shot Put B2,Silver,MESSAGE Michelle,GBR,Great Britain,Athletics,1984
Women,Shot Put B3,Silver,HANSSON-BOE Maria,SWE,Sweden,Athletics,1984
Women,Shot Put C2,Gold,SWANN Anne,GBR,Great Britain,Athletics,1984
Women,Shot Put C2,Silver,SMITH Valerie,GBR,Great Britain,Athletics,1984
Women,Shot Put C3,Gold,FYFE Linda,GBR,Great Britain,Athletics,1984
Women,Shot Put C4,Gold,BOUWMEESTER Ans,NED,Netherlands,Athletics,1984
Women,Shot Put C4,Silver,STEVENSON Susan,GBR,Great Britain,Athletics,1984
Women,Shot Put C4,Bronze,HILDERLEY Helen,GBR,Great Britain,Athletics,1984
Women,Shot Put C5,Silver,PETERS Jane,GBR,Great Britain,Athletics,1984
Women,Shot Put C5,Bronze,JOHNSON Martha,CAN,Canada,Athletics,1984
Women,Shot Put C6,Silver,KYFFIN Amanda,GBR,Great Britain,Athletics,1984
Women,Shot Put C7,Gold,BOUW Joanne,CAN,Canada,Athletics,1984
Women,Shot Put C7,Bronze,ROELOFSEN Mieke,NED,Netherlands,Athletics,1984
Women,Shot Put C8,Gold,ROBERTS Ann Marie,USA,USA,Athletics,1984
Women,Shot Put C8,Silver,WESTRATE Dinie,NED,Netherlands,Athletics,1984
Women,Shot Put C8,Bronze,HEARN Deborah,USA,USA,Athletics,1984
Women,Shot Put L2,Gold,HOTCHIN Irene,GBR,Great Britain,Athletics,1984
Women,Shot Put L2,Silver,MCCANN Mary,GBR,Great Britain,Athletics,1984
Women,Shot Put L2,Bronze,BARANSKI Mary Lou,USA,USA,Athletics,1984
Women,Shot Put L3,Gold,WHITE Kim,GBR,Great Britain,Athletics,1984
Women,Shot Put L3,Silver,CALDWELL Twyanna,USA,USA,Athletics,1984
Women,Shot Put 3,Gold,RIPLEY Dorothy,GBR,Great Britain,Athletics,1984
Women,Shot Put 3,Bronze,HAGENLOCHER Waltraud,FRG,Germany,Athletics,1984
Women,Shot Put 4,Gold,BARTHEIEL M.,FRG,Germany,Athletics,1984
Women,Shot Put 4,Silver,HARASIMCZUK Lilia,POL,Poland,Athletics,1984
Women,Shot Put 5,Gold,MUNKER Elka,FRG,Germany,Athletics,1984
Women,Shot Put 5,Bronze,PRIEUR Martine,FRA,France,Athletics,1984
Women,Discus Throw 1B,Gold,GUSTAFSON M.,CAN,Canada,Athletics,1984
Women,Discus Throw 1B,Silver,BARR Isabel,GBR,Great Britain,Athletics,1984
Women,Discus Throw A1,Gold,TOMASZEWSKA Barbara,POL,Poland,Athletics,1984
Women,Discus Throw A1,Silver,DAVIDSON Karen,GBR,Great Britain,Athletics,1984
Women,Discus Throw A2,Gold,BALTA Stephania,CAN,Canada,Athletics,1984
Women,Discus Throw A2,Silver,WOODBRIDGE Valerie,AUS,Australia,Athletics,1984
Women,Discus Throw A2,Bronze,SMITH Donna,AUS,Australia,Athletics,1984
Women,Discus Throw A4,Gold,FARMER Karen,USA,USA,Athletics,1984
Women,Discus Throw A6,Gold,JOSCELYNE Barbara,GBR,Great Britain,Athletics,1984
Women,Discus Throw A6,Silver,MIELECH Zofia,POL,Poland,Athletics,1984
Women,Discus Throw A6,Bronze,WANG Shuyun,CHN,China,Athletics,1984
Women,Discus Throw B1,Gold,OTTO-LANGE Brigitte,FRG,Germany,Athletics,1984
Women,Discus Throw B2,Gold,ROWLEY Janet,USA,USA,Athletics,1984
Women,Discus Throw B2,Silver,MESSAGE Michelle,GBR,Great Britain,Athletics,1984
Women,Discus Throw C3,Gold,PIERCE Cecelia,USA,USA,Athletics,1984
Women,Discus Throw C3,Silver,LYONS Manyon,USA,USA,Athletics,1984
Women,Discus Throw C3,Bronze,TROTMAN Anne,GBR,Great Britain,Athletics,1984
Women,Discus Throw C4,Gold,BOUWMEESTER Ans,NED,Netherlands,Athletics,1984
Women,Discus Throw C4,Silver,BLALARK Joan,USA,USA,Athletics,1984
Women,Discus Throw C4,Bronze,HILDERLEY Helen,GBR,Great Britain,Athletics,1984
Women,Discus Throw C5,Silver,PETERS Jane,GBR,Great Britain,Athletics,1984
Women,Discus Throw C5,Bronze,SMITH Susan,CAN,Canada,Athletics,1984
Women,Discus Throw C6,Gold,KYFFIN Amanda,GBR,Great Britain,Athletics,1984
Women,Discus Throw C6,Bronze,COLEMAN Shirley,USA,USA,Athletics,1984
Women,Discus Throw C7,Silver,ROELOFSEN Mieke,NED,Netherlands,Athletics,1984
Women,Discus Throw C7,Bronze,BOUW Joanne,CAN,Canada,Athletics,1984
Women,Discus Throw C8,Gold,ROBERTS Ann Marie,USA,USA,Athletics,1984
Women,Discus Throw C8,Silver,WESTRATE Dinie,NED,Netherlands,Athletics,1984
Women,Discus Throw L2,Gold,MCCANN Mary,GBR,Great Britain,Athletics,1984
Women,Discus Throw L2,Silver,HOTCHIN Irene,GBR,Great Britain,Athletics,1984
Women,Discus Throw L2,Bronze,BARANSKI Mary Lou,USA,USA,Athletics,1984
Women,Discus Throw L3,Gold,WHITE Kim,GBR,Great Britain,Athletics,1984
Women,Discus Throw L3,Silver,CALDWELL Twyanna,USA,USA,Athletics,1984
Women,Discus Throw L5,Bronze,MCDADE Dawn,GBR,Great Britain,Athletics,1984
Women,Discus Throw L6,Gold,HEALD Margaret,GBR,Great Britain,Athletics,1984
Women,Discus Throw 2,Bronze,OWCZARCZYK Krystyna,POL,Poland,Athletics,1984
Women,Discus Throw 3,Silver,RIPLEY Dorothy,GBR,Great Britain,Athletics,1984
Women,Discus Throw 3,Bronze,HAGENLOCHER Waltraud,FRG,Germany,Athletics,1984
Women,Discus Throw 4,Gold,CARLTON Kathryne Lynne,USA,USA,Athletics,1984
Women,Discus Throw 4,Silver,HARASIMCZUK Lilia,POL,Poland,Athletics,1984
Women,Discus Throw 4,Bronze,BARTHEIEL M.,FRG,Germany,Athletics,1984
Women,Discus Throw 5,Gold,PRIEUR Martine,FRA,France,Athletics,1984
Women,Discus Throw 5,Silver,MUNKER Elka,FRG,Germany,Athletics,1984
Women,Javelin 1B,Gold,NEIL D.,GBR,Great Britain,Athletics,1984
Women,Javelin 1C,Bronze,ZELMAN Judy,CAN,Canada,Athletics,1984
Women,Javelin A1,Silver,TOMASZEWSKA Barbara,POL,Poland,Athletics,1984
Women,Javelin A1,Bronze,DAVIDSON Karen,GBR,Great Britain,Athletics,1984
Women,Javelin A2,Gold,SMITH Donna,AUS,Australia,Athletics,1984
Women,Javelin A2,Silver,BALTA Stephania,CAN,Canada,Athletics,1984
Women,Javelin A2,Bronze,WILLIAMSON Melody,USA,USA,Athletics,1984
Women,Javelin A4,Gold,FARRELL Anne,CAN,Canada,Athletics,1984
Women,Javelin A4,Silver,FARMER Karen,USA,USA,Athletics,1984
Women,Javelin A6,Gold,MIELECH Zofia,POL,Poland,Athletics,1984
Women,Javelin A6,Silver,WANG Shuyun,CHN,China,Athletics,1984
Women,Javelin B1,Gold,MOORES Janice,GBR,Great Britain,Athletics,1984
Women,Javelin B1,Silver,BOHNING Ilse,FRG,Germany,Athletics,1984
Women,Javelin B2,Gold,HELMACY Karen,USA,USA,Athletics,1984
Women,Javelin B2,Silver,CLARK Mary,GBR,Great Britain,Athletics,1984
Women,Javelin B2,Bronze,ROWLEY Janet,USA,USA,Athletics,1984
Women,Javelin B3,Gold,JOHNSON Lori,USA,USA,Athletics,1984
Women,Javelin C3,Gold,FYFE Linda,GBR,Great Britain,Athletics,1984
Women,Javelin C3,Silver,TROTMAN Anne,GBR,Great Britain,Athletics,1984
Women,Javelin C4,Gold,STEVENSON Susan,GBR,Great Britain,Athletics,1984
Women,Javelin C4,Silver,HILDERLEY Helen,GBR,Great Britain,Athletics,1984
Women,Javelin C5,Gold,PETERS Jane,GBR,Great Britain,Athletics,1984
Women,Javelin C5,Bronze,SMITH Susan,CAN,Canada,Athletics,1984
Women,Javelin C6,Bronze,KYFFIN Amanda,GBR,Great Britain,Athletics,1984
Women,Javelin C7,Gold,BOUW Joanne,CAN,Canada,Athletics,1984
Women,Javelin C8,Gold,GOODRICH Judy,CAN,Canada,Athletics,1984
Women,Javelin C8,Silver,HEARN Deborah,USA,USA,Athletics,1984
Women,Javelin C8,Bronze,WESTRATE Dinie,NED,Netherlands,Athletics,1984
Women,Javelin L2,Gold,MCCANN Mary,GBR,Great Britain,Athletics,1984
Women,Javelin L2,Silver,BARANSKI Mary Lou,USA,USA,Athletics,1984
Women,Javelin L3,Gold,WHITE Kim,GBR,Great Britain,Athletics,1984
Women,Javelin L3,Silver,CALDWELL Twyanna,USA,USA,Athletics,1984
Women,Javelin 2,Gold,OWCZARCZYK Krystyna,POL,Poland,Athletics,1984
Women,Javelin 2,Silver,QUELL Margit,FRG,Germany,Athletics,1984
Women,Javelin 2,Bronze,HOUK Annette,USA,USA,Athletics,1984
Women,Javelin 3,Silver,RIPLEY Dorothy,GBR,Great Britain,Athletics,1984
Women,Javelin 4,Gold,DOWLING J.,AUS,Australia,Athletics,1984
Women,Javelin 4,Silver,CARLTON Kathryne Lynne,USA,USA,Athletics,1984
Women,Javelin 4,Bronze,HARASIMCZUK Lilia,POL,Poland,Athletics,1984
Women,Javelin 5,Silver,PRIEUR Martine,FRA,France,Athletics,1984
Women,Javelin 5,Bronze,MUNKER Elka,FRG,Germany,Athletics,1984
Women,Club Throw C2,Gold,SMITH Valerie,GBR,Great Britain,Athletics,1984
Women,Club Throw C2,Silver,SPITZLEY Jane,USA,USA,Athletics,1984
Women,Club Throw C3,Gold,HARPER Aileen,GBR,Great Britain,Athletics,1984
Women,Club Throw C3,Silver,TROTMAN Anne,GBR,Great Britain,Athletics,1984
Women,Club Throw C3,Bronze,FYFE Linda,GBR,Great Britain,Athletics,1984
Women,Club Throw C4,Gold,BLALARK Joan,USA,USA,Athletics,1984
Women,Club Throw C4,Silver,STEVENSON Susan,GBR,Great Britain,Athletics,1984
Women,Club Throw C4,Bronze,HILDERLEY Helen,GBR,Great Britain,Athletics,1984
Women,Club Throw C5,Gold,PETERS Jane,GBR,Great Britain,Athletics,1984
Women,Club Throw C5,Bronze,KNAPPER Paula,GBR,Great Britain,Athletics,1984
Women,Club Throw L1,Gold,BARKER Lisa,GBR,Great Britain,Athletics,1984
Women,Distance Throw C1,Gold,GAYNOR Maureen,USA,USA,Athletics,1984
Women,Distance Throw C1,Silver,LITTLE Amanda Beverley,GBR,Great Britain,Athletics,1984
Women,Distance Throw C1,Bronze,WILLOWS Debbie,CAN,Canada,Athletics,1984
Women,Distance Throw C2,Gold,SWANN Anne,GBR,Great Britain,Athletics,1984
Women,Distance Throw C2,Silver,BROOKS Maria,GBR,Great Britain,Athletics,1984
Women,Distance Throw C2,Bronze,LAHMAN Harriet,CAN,Canada,Athletics,1984
Women,Precision Throw C1,Gold,LITTLE Amanda Beverley,GBR,Great Britain,Athletics,1984
Women,Precision Throw C1,Silver,WILLOWS Debbie,CAN,Canada,Athletics,1984
Women,Medicine Ball Thrust C2,Gold,SWANN Anne,GBR,Great Britain,Athletics,1984
Women,Medicine Ball Thrust C2,Silver,BROOKS Maria,GBR,Great Britain,Athletics,1984
Women,Medicine Ball Thrust C2,Bronze,LAHMAN Harriet,CAN,Canada,Athletics,1984
Women,Pentathlon B2,Bronze,CLARK Mary,GBR,Great Britain,Athletics,1984
Women,Pentathlon 2,Bronze,QUELL Margit,FRG,Germany,Athletics,1984
Women,Pentathlon 3,Silver,HAGENLOCHER Waltraud,FRG,Germany,Athletics,1984
Women,Pentathlon 3,Bronze,RUSSELL Julie,AUS,Australia,Athletics,1984
Women,Pentathlon 4,Gold,CARLTON Kathryne Lynne,USA,USA,Athletics,1984
Women,Pentathlon 4,Silver,HARASIMCZUK Lilia,POL,Poland,Athletics,1984
Women,Pentathlon 4,Bronze,BARTHEIEL M.,FRG,Germany,Athletics,1984
Women,Pentathlon 5,Silver,MUNKER Elka,FRG,Germany,Athletics,1984
Women,Pentathlon 6,Gold,PRIEUR Martine,FRA,France,Athletics,1984
Men,100 m B1,Bronze,BIDZINSKI Stefan,POL,Poland,Athletics,1984
Men,High Jump A2,Silver,BOTTEMANNE Bert,NED,Netherlands,Athletics,1984
Men,High Jump A4,Silver,HOGGAN James,AUS,Australia,Athletics,1984
Men,High Jump A5,Silver,TIESSEN Jeff,CAN,Canada,Athletics,1984
Men,High Jump A6,Silver,HOLCOMBE Brett,AUS,Australia,Athletics,1984
Men,High Jump B3,Bronze,LAWTON Warren,AUS,Australia,Athletics,1984
Women,Long Jump A2,Gold,DICKS Evelyn,GBR,Great Britain,Athletics,1984
Women,Precision Throw C1,Silver,DEMAROIS Candy,USA,USA,Athletics,1984
Men,100 m 1A,Gold,LUBBERING Hans,FRG,Germany,Athletics,1988
Men,100 m 1A,Silver,DODSON Bart,USA,USA,Athletics,1988
Men,100 m 1B,Gold,CARRUTHERS Peter,GBR,Great Britain,Athletics,1988
Men,100 m 1B,Silver,VALLELONGA Vincenzo,AUS,Australia,Athletics,1988
Men,100 m 1B,Bronze,FURBISH William,USA,USA,Athletics,1988
Men,100 m 1C,Gold,DORMAN Randy,USA,USA,Athletics,1988
Men,100 m 1C,Silver,BEAUDOIN Andre,CAN,Canada,Athletics,1988
Men,100 m 1C,Bronze,DUYVESTIJN Theo,NED,Netherlands,Athletics,1988
Men,100 m A5A7,Gold,SZLEZAK Jerzy,POL,Poland,Athletics,1988
Men,100 m A5A7,Silver,BERGAMO Matthias,FRG,Germany,Athletics,1988
Men,100 m A5A7,Bronze,QIU Xuewen,CHN,China,Athletics,1988
Men,100 m A2A9,Gold,SCHAFFHAUSER Todd,USA,USA,Athletics,1988
Men,100 m A2A9,Silver,MCGREGOR Kerrod,AUS,Australia,Athletics,1988
Men,100 m A4A9,Gold,OEHLER Dennis,USA,USA,Athletics,1988
Men,100 m A4A9,Silver,LOWE Adrian,AUS,Australia,Athletics,1988
Men,100 m A4A9,Bronze,BARRETT Robert,GBR,Great Britain,Athletics,1988
Men,100 m A6A8A9L4,Gold,COULTAS Nigel,GBR,Great Britain,Athletics,1988
Men,100 m A6A8A9L4,Silver,WIEBE William,CAN,Canada,Athletics,1988
Men,100 m A6A8A9L4,Bronze,NUGENT Rodney,AUS,Australia,Athletics,1988
Men,100 m A1-3A9L2,Gold,WESTLEY Daniel,CAN,Canada,Athletics,1988
Men,100 m A1-3A9L2,Silver,BADID Mustapha,FRA,France,Athletics,1988
Men,100 m A1-3A9L2,Bronze,ERICSSON Hakan,SWE,Sweden,Athletics,1988
Men,100 m B2,Silver,ASBURY Andre,USA,USA,Athletics,1988
Men,100 m B2,Bronze,PAZ Marcelino,ESP,Spain,Athletics,1988
Men,100 m B3,Gold,GOODMAN David,AUS,Australia,Athletics,1988
Men,100 m B3,Silver,MEHLMANN Uwe,FRG,Germany,Athletics,1988
Men,100 m C2,Gold,OSBORN David,USA,USA,Athletics,1988
Men,100 m C3,Gold,BONE Jamie,CAN,Canada,Athletics,1988
Men,100 m C3,Silver,BOMAN Par,SWE,Sweden,Athletics,1988
Men,100 m C3,Bronze,SEVERIN David,CAN,Canada,Athletics,1988
Men,100 m C4-5,Gold,EASTON Robert,CAN,Canada,Athletics,1988
Men,100 m C4-5,Silver,JOHNER Michael,CAN,Canada,Athletics,1988
Men,100 m C4-5,Bronze,LARSON David,USA,USA,Athletics,1988
Men,100 m C6,Silver,KEAY Colin,GBR,Great Britain,Athletics,1988
Men,100 m C7,Silver,BAPTE Michel,FRA,France,Athletics,1988
Men,100 m C8,Bronze,DIETI Thomas,USA,USA,Athletics,1988
Men,100 m 2,Gold,MARKLEIN Errol,FRG,Germany,Athletics,1988
Men,100 m 2,Silver,QUESSY Marc,CAN,Canada,Athletics,1988
Men,100 m 2,Bronze,GIBSON Bob,USA,USA,Athletics,1988
Men,100 m 3,Gold,FIGL Robert,FRG,Germany,Athletics,1988
Men,100 m 3,Silver,LOFSTROM Lars,SWE,Sweden,Athletics,1988
Men,100 m 4,Silver,KLEINHEERENBRINK Jan,NED,Netherlands,Athletics,1988
Men,200 m 1A,Gold,LUBBERING Hans,FRG,Germany,Athletics,1988
Men,200 m 1A,Silver,OBERT Gunther,FRG,Germany,Athletics,1988
Men,200 m 1B,Gold,RAYMOND Serge,CAN,Canada,Athletics,1988
Men,200 m 1B,Silver,MATTSSON Jan-Owe,SWE,Sweden,Athletics,1988
Men,200 m 1B,Bronze,FROENDT Bruce,USA,USA,Athletics,1988
Men,200 m 1C,Gold,BEAUDOIN Andre,CAN,Canada,Athletics,1988
Men,200 m 1C,Bronze,RAY Darrell,USA,USA,Athletics,1988
Men,200 m A5A7,Gold,SZLEZAK Jerzy,POL,Poland,Athletics,1988
Men,200 m A5A7,Silver,BERGAMO Matthias,FRG,Germany,Athletics,1988
Men,200 m A5A7,Bronze,QIU Xuewen,CHN,China,Athletics,1988
Men,200 m A4A9,Gold,OEHLER Dennis,USA,USA,Athletics,1988
Men,200 m A4A9,Silver,LOWE Adrian,AUS,Australia,Athletics,1988
Men,200 m A4A9,Bronze,BARRETT Robert,GBR,Great Britain,Athletics,1988
Men,200 m A6A8A9L4,Gold,COULTAS Nigel,GBR,Great Britain,Athletics,1988
Men,200 m A6A8A9L4,Bronze,NUGENT Rodney,AUS,Australia,Athletics,1988
Men,200 m A1-3A9L2,Gold,BADID Mustapha,FRA,France,Athletics,1988
Men,200 m A1-3A9L2,Silver,WESLEY Daniel,CAN,Canada,Athletics,1988
Men,200 m A1-3A9L2,Bronze,ERICSSON Hakan,SWE,Sweden,Athletics,1988
Men,200 m C2,Gold,OSBORN David,USA,USA,Athletics,1988
Men,200 m C3,Gold,BONE Jamie,CAN,Canada,Athletics,1988
Men,200 m C3,Silver,RIVERA Rene,USA,USA,Athletics,1988
Men,200 m C3,Bronze,BOMAN Par,SWE,Sweden,Athletics,1988
Men,200 m C4-5,Gold,EASTON Robert,CAN,Canada,Athletics,1988
Men,200 m C4-5,Silver,VENDETTI Gino,CAN,Canada,Athletics,1988
Men,200 m C4-5,Bronze,JOHNER Michael,CAN,Canada,Athletics,1988
Men,200 m C6,Gold,KEAY Colin,GBR,Great Britain,Athletics,1988
Men,200 m C6,Bronze,ROBERTSON Gordon,GBR,Great Britain,Athletics,1988
Men,200 m C7,Gold,HILL Bradley,AUS,Australia,Athletics,1988
Men,200 m C8,Bronze,BIANCUCCI Robert,AUS,Australia,Athletics,1988
Men,200 m 2,Gold,MARKLEIN Errol,FRG,Germany,Athletics,1988
Men,200 m 2,Silver,PETERSEN Wolfgang,FRG,Germany,Athletics,1988
Men,200 m 2,Bronze,NUGENT Michael,AUS,Australia,Athletics,1988
Men,200 m 3,Gold,LOFSTROM Lars,SWE,Sweden,Athletics,1988
Men,200 m 3,Bronze,FIGL Robert,FRG,Germany,Athletics,1988
Men,200 m 4,Gold,KLEINHEERENBRINK Jan,NED,Netherlands,Athletics,1988
Men,400 m 1A,Gold,OBERT Gunther,FRG,Germany,Athletics,1988
Men,400 m 1A,Silver,LUBBERING Hans,FRG,Germany,Athletics,1988
Men,400 m 1A,Bronze,KOEBERLE Heinrich,FRG,Germany,Athletics,1988
Men,400 m 1B,Gold,GEREIN Clayton,CAN,Canada,Athletics,1988
Men,400 m 1B,Silver,STUBEL Daryl,CAN,Canada,Athletics,1988
Men,400 m 1B,Bronze,MATTSSON Jan-Owe,SWE,Sweden,Athletics,1988
Men,400 m 1C,Gold,WORTHINGTON Jeff,USA,USA,Athletics,1988
Men,400 m 1C,Silver,BEAUDOIN Andre,CAN,Canada,Athletics,1988
Men,400 m 1C,Bronze,RAY Darrell,USA,USA,Athletics,1988
Men,400 m A5A7,Gold,TIESSEN Jeff,CAN,Canada,Athletics,1988
Men,400 m A5A7,Silver,SZLEZAK Jerzy,POL,Poland,Athletics,1988
Men,400 m A4A9,Gold,OEHLER Dennis,USA,USA,Athletics,1988
Men,400 m A4A9,Silver,LOWE Adrian,AUS,Australia,Athletics,1988
Men,400 m A4A9,Bronze,O'SULLIVAN Andrew,AUS,Australia,Athletics,1988
Men,400 m A6A8A9L4,Silver,COULTAS Nigel,GBR,Great Britain,Athletics,1988
