name,sex,age,height,weight,bmi,country,year,season,team,sport,medal
Gayle Broughton,F,20.0,174.0,70.0,23.12,New Zealand,2016,Summer,New Zealand,Rugby Sevens,Silver
Alexander Brouwer,M,26.0,198.0,88.0,22.45,Netherlands,2016,Summer,Netherlands-1,Beach Volleyball,Bronze
Matthijs Christian Brouwer,M,24.0,185.0,81.0,23.67,Netherlands,2004,Summer,Netherlands,Hockey,Silver
Ronald Leendert Brouwer,M,25.0,177.0,75.0,23.94,Netherlands,2004,Summer,Netherlands,Hockey,Silver
Tore Brovold,M,38.0,175.0,73.77,24.09,Norway,2008,Summer,Norway,Shooting,Silver
Aaron Brown,M,24.0,198.0,79.0,20.15,Canada,2016,Summer,Canada,Athletics,Bronze
Dustin James Brown,M,25.0,183.0,94.0,28.07,United States of America,2010,Winter,United States,Ice Hockey,Silver
Graeme Allen Brown,M,25.0,177.0,75.0,23.94,Australia,2004,Summer,Australia,Cycling,Gold
Graeme Allen Brown,M,25.0,177.0,75.0,23.94,Australia,2004,Summer,Australia,Cycling,Gold
Jason Brown,M,19.0,170.0,61.0,21.11,United States of America,2014,Winter,United States,Figure Skating,Bronze
Jeremiah Brown,M,26.0,198.0,106.0,27.04,Canada,2012,Summer,Canada,Rowing,Silver
Kiel Brown,M,24.0,172.0,72.0,24.34,Australia,2008,Summer,Australia,Hockey,Bronze
Lascelles Oneil Brown,M,31.0,182.0,100.0,30.19,Canada,2006,Winter,Canada-1,Bobsleigh,Silver
Lascelles Oneil Brown,M,35.0,182.0,100.0,30.19,Canada,2010,Winter,Canada-1,Bobsleigh,Bronze
Laura Brown,F,29.0,167.0,61.0,21.87,Canada,2016,Summer,Canada,Cycling,Bronze
"Matthew Benjamin ""Matt"" Brown",M,25.0,182.0,93.0,28.08,United States of America,2008,Summer,United States,Baseball,Bronze
Shelley-Ann Brown,F,29.0,173.0,75.0,25.06,Canada,2010,Winter,Canada-2,Bobsleigh,Silver
Victoria Brown,F,26.0,183.0,76.0,22.69,Australia,2012,Summer,Australia,Water Polo,Bronze
Stephanie Karenmonica Brown-Trafton,F,28.0,193.0,100.0,26.85,United States of America,2008,Summer,United States,Athletics,Gold
Alistair Edward Brownlee,M,24.0,184.0,70.0,20.68,United Kingdom,2012,Summer,Great Britain,Triathlon,Gold
Alistair Edward Brownlee,M,28.0,184.0,70.0,20.68,United Kingdom,2016,Summer,Great Britain,Triathlon,Gold
"Jonathan Callum ""Jonny"" Brownlee",M,22.0,181.0,70.0,21.37,United Kingdom,2012,Summer,Great Britain,Triathlon,Bronze
"Jonathan Callum ""Jonny"" Brownlee",M,26.0,181.0,70.0,21.37,United Kingdom,2016,Summer,Great Britain,Triathlon,Silver
Ivano Brugnetti,M,27.0,176.0,61.0,19.69,Italy,2004,Summer,Italy,Athletics,Gold
Kristoffer Brun,M,28.0,175.0,70.0,22.86,Norway,2016,Summer,Norway,Rowing,Bronze
Caroline Brunet,F,35.0,175.0,70.0,22.86,Canada,2004,Summer,Canada,Canoeing,Bronze
Manuel Brunet,M,30.0,179.0,79.0,24.66,Argentina,2016,Summer,Argentina,Hockey,Gold
Marie Laure Louise Graldine Brunet,F,21.0,166.0,52.0,18.87,France,2010,Winter,France,Biathlon,Bronze
Marie Laure Louise Graldine Brunet,F,21.0,166.0,52.0,18.87,France,2010,Winter,France,Biathlon,Silver
Rachele Bruni,F,25.0,170.0,59.0,20.42,Italy,2016,Summer,Italy,Swimming,Silver
"Bruno ""Bruninho"" Mossa de Rezende",M,22.0,190.0,76.0,21.05,Brazil,2008,Summer,Brazil,Volleyball,Silver
"Bruno ""Bruninho"" Mossa de Rezende",M,26.0,190.0,76.0,21.05,Brazil,2012,Summer,Brazil,Volleyball,Silver
"Bruno ""Bruninho"" Mossa de Rezende",M,30.0,190.0,76.0,21.05,Brazil,2016,Summer,Brazil,Volleyball,Gold
Olga Aleksandrovna Brusnikina,F,25.0,169.0,55.0,19.26,Russia,2004,Summer,Russia,Synchronized Swimming,Gold
