name,sex,age,height,weight,bmi,country,year,season,team,sport,medal
Janne Mller-Wieland,F,29.0,175.0,69.0,22.53,Germany,2016,Summer,Germany,Hockey,Bronze
lex Mumbr Murcia,M,29.0,202.0,100.0,24.51,Spain,2008,Summer,Spain,Basketball,Silver
Mun Dae-Seong,M,27.0,191.0,91.0,24.94,South Korea,2004,Summer,South Korea,Taekwondo,Gold
Mun Gyeong-Ha,F,24.0,176.0,62.0,20.02,South Korea,2004,Summer,South Korea,Handball,Silver
Mun Pil-Hui,F,21.0,168.0,62.0,21.97,South Korea,2004,Summer,South Korea,Handball,Silver
Mun Pil-Hui,F,25.0,168.0,62.0,21.97,South Korea,2008,Summer,South Korea,Handball,Bronze
Mun Ui-Je,M,29.0,178.0,84.0,26.51,South Korea,2004,Summer,South Korea,Wrestling,Silver
Anniara Muoz Carrazana,F,24.0,183.0,66.0,19.71,Cuba,2004,Summer,Cuba,Volleyball,Bronze
Thalia Janina Munro,F,22.0,177.0,70.0,22.34,United States of America,2004,Summer,United States,Water Polo,Bronze
Maximilian Munski,M,28.0,195.0,96.0,25.25,Germany,2016,Summer,Germany,Rowing,Silver
Diana Marie Munz (-DePetro),F,22.0,162.0,56.0,21.34,United States of America,2004,Summer,United States,Swimming,Bronze
Sharvani Gadzhikurbanovich Muradov,M,23.0,182.0,96.0,28.98,Russia,2008,Summer,Russia,Wrestling,Gold
Arihito Muramatsu,M,31.0,177.0,78.0,24.9,Japan,2004,Summer,Japan,Baseball,Bronze
Pirjo Elina Muranen (Manninen-),F,28.0,174.0,62.0,20.48,Finland,2010,Winter,Finland,Cross Country Skiing,Bronze
Ryota Murata,M,26.0,182.0,73.77,22.27,Japan,2012,Summer,Japan,Boxing,Gold
David Murdoch,M,35.0,177.0,76.0,24.26,United Kingdom,2014,Winter,Great Britain,Curling,Silver
Murilo Endres,M,27.0,190.0,76.0,21.05,Brazil,2008,Summer,Brazil,Volleyball,Silver
Murilo Endres,M,31.0,190.0,76.0,21.05,Brazil,2012,Summer,Brazil,Volleyball,Silver
Koji Alexander Murofushi,M,29.0,187.0,96.0,27.45,Japan,2004,Summer,Japan,Athletics,Gold
Koji Alexander Murofushi,M,37.0,187.0,96.0,27.45,Japan,2012,Summer,Japan,Athletics,Bronze
Clayton Murphy,M,21.0,180.0,68.0,20.99,United States of America,2016,Summer,United States,Athletics,Bronze
Kelly Murphy,F,26.0,188.0,77.0,21.79,United States of America,2016,Summer,United States,Volleyball,Bronze
Patrick Murphy,M,24.0,190.0,88.0,24.38,Australia,2008,Summer,Australia,Swimming,Bronze
Patrick Murphy,M,24.0,190.0,88.0,24.38,Australia,2008,Summer,Australia,Swimming,Bronze
Ryan Murphy,M,21.0,191.0,91.0,24.94,United States of America,2016,Summer,United States,Swimming,Gold
Ryan Murphy,M,21.0,191.0,91.0,24.94,United States of America,2016,Summer,United States,Swimming,Gold
Ryan Murphy,M,21.0,191.0,91.0,24.94,United States of America,2016,Summer,United States,Swimming,Gold
"Andrew Barron ""Andy"" Murray",M,25.0,190.0,83.0,22.99,United Kingdom,2012,Summer,Great Britain,Tennis,Gold
"Andrew Barron ""Andy"" Murray",M,25.0,190.0,83.0,22.99,United Kingdom,2012,Summer,Great Britain,Tennis,Silver
"Andrew Barron ""Andy"" Murray",M,29.0,190.0,83.0,22.99,United Kingdom,2016,Summer,Great Britain,Tennis,Gold
Eric Gordon Murray,M,30.0,195.0,98.0,25.77,New Zealand,2012,Summer,New Zealand,Rowing,Gold
Eric Gordon Murray,M,34.0,195.0,98.0,25.77,New Zealand,2016,Summer,New Zealand,Rowing,Gold
Samantha Murray,F,22.0,174.0,60.0,19.82,United Kingdom,2012,Summer,Great Britain,Modern Pentathlon,Silver
Makhach Dalgatovich Murtazaliyev,M,20.0,172.0,66.0,22.31,Russia,2004,Summer,Russia,Wrestling,Bronze
Yelena Anatolyevna Murzina,F,20.0,178.0,52.0,16.41,Russia,2004,Summer,Russia,Rhythmic Gymnastics,Gold
Dmitry Aleksandrovich Musersky,M,23.0,219.0,104.0,21.68,Russia,2012,Summer,Russia,Volleyball,Gold
Petar Muslim,M,24.0,200.0,102.0,25.5,Croatia,2012,Summer,Croatia,Water Polo,Gold
Meghan Musnicki,F,29.0,183.0,73.0,21.8,United States of America,2012,Summer,United States,Rowing,Gold
Meghan Musnicki,F,33.0,183.0,73.0,21.8,United States of America,2016,Summer,United States,Rowing,Gold
"Madeline ""Maddie"" Musselman",F,18.0,181.0,65.0,19.84,United States of America,2016,Summer,United States,Water Polo,Gold
Aliya Farkhatovna Mustafina,F,17.0,162.0,48.0,18.29,Russia,2012,Summer,Russia,Gymnastics,Bronze
Aliya Farkhatovna Mustafina,F,17.0,162.0,48.0,18.29,Russia,2012,Summer,Russia,Gymnastics,Silver
Aliya Farkhatovna Mustafina,F,17.0,162.0,48.0,18.29,Russia,2012,Summer,Russia,Gymnastics,Bronze
Aliya Farkhatovna Mustafina,F,17.0,162.0,48.0,18.29,Russia,2012,Summer,Russia,Gymnastics,Gold
Aliya Farkhatovna Mustafina,F,21.0,162.0,48.0,18.29,Russia,2016,Summer,Russia,Gymnastics,Bronze
Aliya Farkhatovna Mustafina,F,21.0,162.0,48.0,18.29,Russia,2016,Summer,Russia,Gymnastics,Silver
Aliya Farkhatovna Mustafina,F,21.0,162.0,48.0,18.29,Russia,2016,Summer,Russia,Gymnastics,Gold
Maddalena Musumeci,F,28.0,170.0,65.0,22.49,Italy,2004,Summer,Italy,Water Polo,Gold
"Mara Florencia ""Flor"" Mutio",F,27.0,171.0,68.0,23.26,Argentina,2012,Summer,Argentina,Hockey,Silver
Myeom Bok-Hui,F,25.0,168.0,66.0,23.38,South Korea,2004,Summer,South Korea,Handball,Silver
Per Andr Myhrer,M,27.0,189.0,93.0,26.04,Sweden,2010,Winter,Sweden,Alpine Skiing,Bronze
Rasmus Paul Myrgren,M,33.0,175.0,83.0,27.1,Sweden,2012,Summer,Sweden,Sailing,Bronze
Na Gyeong-Min,F,27.0,175.0,65.0,21.22,South Korea,2004,Summer,South Korea-1,Badminton,Bronze
Katrin Nabholz,F,27.0,168.0,56.0,19.84,Switzerland,2014,Winter,Switzerland,Ice Hockey,Bronze
Rafael Nadal Parera,M,22.0,185.0,80.0,23.37,Spain,2008,Summer,Spain,Tennis,Gold
Rafael Nadal Parera,M,30.0,185.0,80.0,23.37,Spain,2016,Summer,Spain-2,Tennis,Gold
"Alexander Michael ""Alex"" Naddour",M,25.0,170.0,70.0,24.22,United States of America,2016,Summer,United States,Gymnastics,Bronze
Kiyofumi Nagai,M,25.0,175.0,81.0,26.45,Japan,2008,Summer,Japan,Cycling,Bronze
Yuki Nagasato-Ogimi,F,25.0,168.0,60.0,21.26,Japan,2012,Summer,Japan,Football,Silver
Takanori Nagase,M,22.0,181.0,81.0,24.72,Japan,2016,Summer,Japan,Judo,Bronze
Keiichiro Nagashima,M,27.0,172.0,70.0,23.66,Japan,2010,Winter,Japan,Speed Skating,Silver
Tomohiro Nagatsuka,M,25.0,182.0,78.0,23.55,Japan,2004,Summer,Japan,Cycling,Silver
Nikita Vladimirovich Nagorny,M,19.0,166.0,67.0,24.31,Russia,2016,Summer,Russia,Gymnastics,Silver
Tmea Nagy (-Varga),F,33.0,180.0,69.0,21.3,Hungary,2004,Summer,Hungary,Fencing,Gold
Emi Naito,F,24.0,162.0,63.0,24.01,Japan,2004,Summer,Japan,Softball,Bronze
Kanami Nakamaki,F,24.0,167.0,58.0,20.8,Japan,2016,Summer,Japan,Synchronized Swimming,Bronze
Hitomi Nakamichi,F,26.0,159.0,53.0,20.96,Japan,2012,Summer,Japan,Volleyball,Bronze
Mai Nakamura,F,27.0,163.0,56.0,21.08,Japan,2016,Summer,Japan,Synchronized Swimming,Bronze
Misato Nakamura,F,19.0,157.0,52.0,21.1,Japan,2008,Summer,Japan,Judo,Bronze
Misato Nakamura,F,27.0,157.0,52.0,21.1,Japan,2016,Summer,Japan,Judo,Bronze
Norihiro Nakamura,M,31.0,180.0,94.0,29.01,Japan,2004,Summer,Japan,Baseball,Bronze
Reiko Nakamura,F,22.0,166.0,55.0,19.96,Japan,2004,Summer,Japan,Swimming,Bronze
Reiko Nakamura,F,26.0,166.0,55.0,19.96,Japan,2008,Summer,Japan,Swimming,Bronze
Yuko Nakanishi,F,23.0,165.0,54.0,19.83,Japan,2004,Summer,Japan,Swimming,Bronze
Daisuke Nakano,M,21.0,163.0,58.0,21.83,Japan,2004,Summer,Japan,Gymnastics,Gold
Takuya Nakase,M,25.0,165.0,64.0,23.51,Japan,2008,Summer,Japan,Gymnastics,Silver
Riki Nakaya,M,23.0,168.0,73.0,25.86,Japan,2012,Summer,Japan,Judo,Silver
Nalbert Tavares Bitencourt,M,30.0,196.0,91.0,23.69,Brazil,2004,Summer,Brazil,Volleyball,Gold
Nam Hyeon-Hui,F,26.0,155.0,46.0,19.15,South Korea,2008,Summer,South Korea,Fencing,Silver
Nam Hyeon-Hui,F,30.0,155.0,46.0,19.15,South Korea,2012,Summer,South Korea,Fencing,Bronze
Nam Tae-Hui,M,21.0,175.0,73.0,23.84,South Korea,2012,Summer,South Korea,Football,Bronze
Daniel Narcisse,M,28.0,189.0,93.0,26.04,France,2008,Summer,France,Handball,Gold
Daniel Narcisse,M,32.0,189.0,93.0,26.04,France,2012,Summer,France,Handball,Gold
Daniel Narcisse,M,36.0,189.0,93.0,26.04,France,2016,Summer,France,Handball,Silver
Aleksandra Sergeyevna Narkevich,F,17.0,172.0,73.77,24.94,Belarus,2012,Summer,Belarus,Rhythmic Gymnastics,Silver
Andr Luiz da Silva Nascimento,M,25.0,195.0,95.0,24.98,Brazil,2004,Summer,Brazil,Volleyball,Gold
Andr Luiz da Silva Nascimento,M,29.0,195.0,95.0,24.98,Brazil,2008,Summer,Brazil,Volleyball,Silver
George Christopher Nash,M,22.0,195.0,96.0,25.25,United Kingdom,2012,Summer,Great Britain,Rowing,Bronze
George Christopher Nash,M,26.0,195.0,96.0,25.25,United Kingdom,2016,Summer,Great Britain,Rowing,Gold
Rick McLaren Nash,M,25.0,193.0,93.0,24.97,Canada,2010,Winter,Canada,Ice Hockey,Gold
Rick McLaren Nash,M,29.0,193.0,93.0,24.97,Canada,2014,Winter,Canada,Ice Hockey,Gold
Ruslan Rafikovich Nasibullin,M,23.0,182.0,72.0,21.74,Russia,2004,Summer,Russia,Fencing,Bronze
Natlia Zlio Pereira,F,23.0,184.0,76.0,22.45,Brazil,2012,Summer,Brazil,Volleyball,Gold
Tyla Nathan-Wong,F,22.0,163.0,58.0,21.83,New Zealand,2016,Summer,New Zealand,Rugby Sevens,Silver
Marie-ve Nault,F,30.0,170.0,64.0,22.15,Canada,2012,Summer,Canada,Football,Bronze
Darya Sergeyevna Naumova,F,20.0,165.0,76.0,27.92,Belarus,2016,Summer,Belarus,Weightlifting,Silver
Juan Carlos Navarro Feijoo,M,28.0,193.0,82.0,22.01,Spain,2008,Summer,Spain,Basketball,Silver
Juan Carlos Navarro Feijoo,M,32.0,193.0,82.0,22.01,Spain,2012,Summer,Spain,Basketball,Silver
Juan Carlos Navarro Feijoo,M,36.0,193.0,82.0,22.01,Spain,2016,Summer,Spain,Basketball,Bronze
Silvia Navarro Jimnez,F,33.0,169.0,62.0,21.71,Spain,2012,Summer,Spain,Handball,Bronze
Luis Miguel Navas Gonzlez,M,28.0,184.0,77.0,22.74,Cuba,2008,Summer,Cuba,Baseball,Silver
Tatyana Aleksandrovna Navka,F,30.0,170.0,52.0,17.99,Russia,2006,Winter,Russia-1,Figure Skating,Gold
Anastasiya Konstantinovna Nazarenko,F,19.0,172.0,52.0,17.58,Russia,2012,Summer,Russia,Rhythmic Gymnastics,Gold
Nataliya Viktorovna Nazarova,F,25.0,168.0,57.0,20.2,Russia,2004,Summer,Russia,Athletics,Silver
Nataliya Viktorovna Nazarova,F,33.0,168.0,57.0,20.2,Russia,2012,Summer,Russia,Athletics,Silver
Emmeline Ndongue,F,29.0,192.0,82.0,22.24,France,2012,Summer,France,Basketball,Silver
Astou Barro Ndour Gueye,F,21.0,195.0,68.0,17.88,Spain,2016,Summer,Spain,Basketball,Silver
Blaine Neal,M,30.0,196.0,114.0,29.68,United States of America,2008,Summer,United States,Baseball,Bronze
Lia Neal,F,17.0,178.0,75.0,23.67,United States of America,2012,Summer,United States,Swimming,Bronze
Lia Neal,F,21.0,178.0,75.0,23.67,United States of America,2016,Summer,United States,Swimming,Silver
Leah Neale,F,21.0,173.0,66.0,22.05,Australia,2016,Summer,Australia,Swimming,Silver
Nemanja Nedovi,M,25.0,191.0,90.0,24.67,Serbia,2016,Summer,Serbia,Basketball,Silver
Sonja Nef,F,29.0,164.0,72.0,26.77,Switzerland,2002,Winter,Switzerland,Alpine Skiing,Bronze
Aleksey Aleksandrovich Negodaylo,M,24.0,189.0,98.0,27.43,Russia,2014,Winter,Russia-1,Bobsleigh,Gold
Jade Neilsen,F,21.0,175.0,70.0,22.86,Australia,2012,Summer,Australia,Swimming,Silver
Daryll Saskia Neita,F,19.0,172.0,61.0,20.62,United Kingdom,2016,Summer,Great Britain,Athletics,Bronze
Bryshon Lorenzo Nellum,M,23.0,183.0,80.0,23.89,United States of America,2012,Summer,United States,Athletics,Silver
Adam McCright Nelson,M,29.0,183.0,120.0,35.83,United States of America,2004,Summer,United States,Athletics,Gold
Diane Nelson (-Dezura),F,43.0,163.0,59.0,22.21,Canada,2002,Winter,Canada,Curling,Bronze
Lars Fredrik Nelson,M,28.0,180.0,77.0,23.77,Sweden,2014,Winter,Sweden,Cross Country Skiing,Gold
Lianne McLellan Nelson-Bennion,F,32.0,177.0,68.0,21.71,United States of America,2004,Summer,United States,Rowing,Silver
Zsolt Nemcsik,M,26.0,188.0,88.0,24.9,Hungary,2004,Summer,Hungary,Fencing,Silver
Torger Nergrd,M,27.0,179.0,85.0,26.53,Norway,2002,Winter,Norway,Curling,Gold
Torger Nergrd,M,35.0,179.0,85.0,26.53,Norway,2010,Winter,Norway,Curling,Silver
"Stefanie ""Steffi"" Nerius",F,32.0,178.0,72.0,22.72,Germany,2004,Summer,Germany,Athletics,Silver
Christine Margaret Nesbitt,F,20.0,171.0,68.0,23.26,Canada,2006,Winter,Canada,Speed Skating,Silver
Christine Margaret Nesbitt,F,24.0,171.0,68.0,23.26,Canada,2010,Winter,Canada,Speed Skating,Gold
Stephanie Nesbitt,F,19.0,165.0,52.0,19.1,United States of America,2004,Summer,United States,Synchronized Swimming,Bronze
Mauro Nespoli,M,20.0,181.0,78.0,23.81,Italy,2008,Summer,Italy,Archery,Silver
Mauro Nespoli,M,24.0,181.0,78.0,23.81,Italy,2012,Summer,Italy,Archery,Gold
Yuliya Viktorovna Nesterenko (Bartsevich-),F,25.0,176.0,62.0,20.02,Belarus,2004,Summer,Belarus,Athletics,Gold
Mikhail Valeryevich Nestruyev,M,35.0,174.0,61.0,20.15,Russia,2004,Summer,Russia,Shooting,Silver
Mikhail Valeryevich Nestruyev,M,35.0,174.0,61.0,20.15,Russia,2004,Summer,Russia,Shooting,Gold
Acer Gary Nethercott,M,30.0,174.0,55.0,18.17,United Kingdom,2008,Summer,Great Britain,Rowing,Silver
Norberto Murara Neto,M,23.0,191.0,83.0,22.75,Brazil,2012,Summer,Brazil,Football,Silver
Kateina Neumannov,F,28.0,175.0,67.0,21.88,Czechia,2002,Winter,Czech Republic,Cross Country Skiing,Silver
Kateina Neumannov,F,28.0,175.0,67.0,21.88,Czechia,2002,Winter,Czech Republic,Cross Country Skiing,Silver
Kateina Neumannov,F,32.0,175.0,67.0,21.88,Czechia,2006,Winter,Czech Republic,Cross Country Skiing,Gold
Kateina Neumannov,F,32.0,175.0,67.0,21.88,Czechia,2006,Winter,Czech Republic,Cross Country Skiing,Silver
Michael Neumayer,M,31.0,180.0,60.0,18.52,Germany,2010,Winter,Germany,Ski Jumping,Silver
Magdalena Neuner (-Holzer),F,23.0,166.0,58.0,21.05,Germany,2010,Winter,Germany,Biathlon,Silver
Magdalena Neuner (-Holzer),F,23.0,166.0,58.0,21.05,Germany,2010,Winter,Germany,Biathlon,Gold
Magdalena Neuner (-Holzer),F,23.0,166.0,58.0,21.05,Germany,2010,Winter,Germany,Biathlon,Gold
Kiley Neushul,F,23.0,173.0,65.0,21.72,United States of America,2016,Summer,United States,Water Polo,Gold
Juan Carlos Nevado Gonzlez,M,25.0,171.0,74.0,25.31,Germany,2008,Summer,Germany,Hockey,Gold
Frida Margareta Nevalainen,F,19.0,165.0,64.0,23.51,Sweden,2006,Winter,Sweden,Ice Hockey,Silver
Leandro Vissotto Neves,M,29.0,212.0,97.0,21.58,Brazil,2012,Summer,Brazil,Volleyball,Silver
Thiago Neves Augusto,M,23.0,182.0,70.0,21.13,Brazil,2008,Summer,Brazil,Football,Bronze
David Neville,M,24.0,193.0,77.0,20.67,United States of America,2008,Summer,United States,Athletics,Bronze
David Neville,M,24.0,193.0,77.0,20.67,United States of America,2008,Summer,United States,Athletics,Gold
Robert Frederick Newbery,M,25.0,174.0,70.0,23.12,Australia,2004,Summer,Australia,Diving,Bronze
Robert Frederick Newbery,M,25.0,174.0,70.0,23.12,Australia,2004,Summer,Australia,Diving,Bronze
"Christopher ""Chris"" Newton",M,30.0,181.0,69.0,21.06,United Kingdom,2004,Summer,Great Britain,Cycling,Silver
"Christopher ""Chris"" Newton",M,34.0,181.0,69.0,21.06,United Kingdom,2008,Summer,Great Britain,Cycling,Bronze
Neymar da Silva Santos Jnior,M,20.0,174.0,64.0,21.14,Brazil,2012,Summer,Brazil,Football,Silver
Neymar da Silva Santos Jnior,M,24.0,174.0,64.0,21.14,Brazil,2016,Summer,Brazil,Football,Gold
Timothey N'Guessan,M,23.0,186.0,105.0,30.35,France,2016,Summer,France,Handball,Silver
Marcel Van Minh Phuc Long Nguyen,M,24.0,165.0,55.0,20.2,Germany,2012,Summer,Germany,Gymnastics,Silver
Marcel Van Minh Phuc Long Nguyen,M,24.0,165.0,55.0,20.2,Germany,2012,Summer,Germany,Gymnastics,Silver
Ni Hong,F,22.0,175.0,62.0,20.24,China,2008,Summer,China,Fencing,Silver
Haby Niar,F,23.0,176.0,66.0,21.31,France,2016,Summer,France,Taekwondo,Silver
Laura Nicholls Gonzlez,F,27.0,190.0,90.0,24.93,Spain,2016,Summer,Spain,Basketball,Silver
Mark Nichols,M,26.0,177.0,81.0,25.85,Canada,2006,Winter,Canada,Curling,Gold
Andrew Clifton Nicholson,M,50.0,182.0,78.0,23.55,New Zealand,2012,Summer,New Zealand,Equestrianism,Bronze
Paolo Nicolai,M,27.0,203.0,91.0,22.08,Italy,2016,Summer,Italy-1,Beach Volleyball,Silver
Astier Nicolas,M,27.0,180.0,70.0,21.6,France,2016,Summer,France,Equestrianism,Silver
Astier Nicolas,M,27.0,180.0,70.0,21.6,France,2016,Summer,France,Equestrianism,Gold
Scott Niedermayer,M,28.0,185.0,91.0,26.59,Canada,2002,Winter,Canada,Ice Hockey,Gold
Scott Niedermayer,M,36.0,185.0,91.0,26.59,Canada,2010,Winter,Canada,Ice Hockey,Gold
"Barbara ""Babsi"" Niedernhuber",F,27.0,174.0,69.0,22.79,Germany,2002,Winter,Germany,Luge,Silver
Joachim Flemming Fischer Nielsen,M,33.0,188.0,78.0,22.07,Denmark,2012,Summer,Denmark-1,Badminton,Bronze
Michael Damgaard Nielsen,M,26.0,192.0,92.0,24.96,Denmark,2016,Summer,Denmark,Handball,Gold
Mie stergaard Nielsen,F,19.0,184.0,67.0,19.79,Denmark,2016,Summer,Denmark,Swimming,Bronze
Antti-Jussi Jormanpoika Niemi,M,28.0,184.0,86.0,25.4,Finland,2006,Winter,Finland,Ice Hockey,Silver
Minna Eliisa Nieminen,F,31.0,172.0,62.0,20.96,Finland,2008,Summer,Finland,Rowing,Silver
Ville Juhani Nieminen,M,28.0,182.0,97.0,29.28,Finland,2006,Winter,Finland,Ice Hockey,Silver
Simon Niepmann,M,31.0,180.0,71.0,21.91,Switzerland,2016,Summer,Switzerland,Rowing,Gold
"Joseph ""Joe"" Nieuwendyk",M,35.0,185.0,93.0,27.17,Canada,2002,Winter,Canada,Ice Hockey,Gold
Ivan Vitalyevich Nifontov,M,25.0,172.0,81.0,27.38,Russia,2012,Summer,Russia,Judo,Bronze
Antero Pertti Elias Niittymki,M,25.0,185.0,84.0,24.54,Finland,2006,Winter,Finland,Ice Hockey,Silver
Slobodan Niki,M,21.0,197.0,106.0,27.31,Serbia,2004,Summer,Serbia and Montenegro,Water Polo,Silver
Slobodan Niki,M,29.0,197.0,106.0,27.31,Serbia,2012,Summer,Serbia,Water Polo,Bronze
Slobodan Niki,M,33.0,197.0,106.0,27.31,Serbia,2016,Summer,Serbia,Water Polo,Gold
Viktoriya Aleksandrovna Nikishina,F,23.0,174.0,68.0,22.46,Russia,2008,Summer,Russia,Fencing,Gold
Vladimir Olegovich Nikitin,M,26.0,165.0,56.0,20.57,Russia,2016,Summer,Russia,Boxing,Bronze
Yuriy Viktorovych Nikitin,M,26.0,172.0,62.0,20.96,Ukraine,2004,Summer,Ukraine,Trampolining,Gold
Yelena Valeryevna Nikitina,F,21.0,169.0,57.0,19.96,Russia,2014,Winter,Russia,Skeleton,Bronze
Olga Viktorovna Nikolayeva,F,32.0,190.0,74.0,20.5,Russia,2004,Summer,Russia,Volleyball,Silver
Jelena Nikoli,F,34.0,194.0,79.0,20.99,Serbia,2016,Summer,Serbia,Volleyball,Silver
Andrey Vasilyevich Nikolishin,M,28.0,179.0,97.0,30.27,Russia,2002,Winter,Russia,Ice Hockey,Bronze
Andreas Oliver Nilsson,M,22.0,197.0,114.0,29.37,Sweden,2012,Summer,Sweden,Handball,Silver
"David Wayne ""Dave"" Nilsson",M,34.0,193.0,110.0,29.53,Australia,2004,Summer,Australia,Baseball,Silver
Hans Henrik Nilsson,M,28.0,190.0,86.0,23.82,Sweden,2004,Summer,Sweden,Canoeing,Gold
Tpp Karin Stina Nilsson,F,20.0,174.0,68.0,22.46,Sweden,2014,Winter,Sweden,Cross Country Skiing,Bronze
Stefan Nimke,M,26.0,186.0,94.0,27.17,Germany,2004,Summer,Germany,Cycling,Bronze
Stefan Nimke,M,26.0,186.0,94.0,27.17,Germany,2004,Summer,Germany,Cycling,Gold
Stefan Nimke,M,30.0,186.0,94.0,27.17,Germany,2008,Summer,Germany,Cycling,Bronze
Ivan Ninevi,M,30.0,184.0,88.0,25.99,Croatia,2012,Summer,Croatia,Handball,Bronze
Gnonsiane Niombla,F,26.0,172.0,69.0,23.32,France,2016,Summer,France,Handball,Silver
Kei Nishikori,M,26.0,178.0,74.0,23.36,Japan,2016,Summer,Japan,Tennis,Bronze
Masashi Nishiyama,M,27.0,178.0,90.0,28.41,Japan,2012,Summer,Japan,Judo,Bronze
Rei Nishiyama,F,24.0,167.0,62.0,22.23,Japan,2008,Summer,Japan,Softball,Gold
Maureen Roxane Nelly Nisima,F,23.0,165.0,63.0,23.14,France,2004,Summer,France,Fencing,Bronze
Maureen Roxane Nelly Nisima,F,23.0,165.0,63.0,23.14,France,2004,Summer,France,Fencing,Bronze
Janne Juhani Niskala,M,28.0,184.0,85.0,25.11,Finland,2010,Winter,Finland,Ice Hockey,Bronze
Iivo Henrik Niskanen,M,22.0,187.0,80.0,22.88,Finland,2014,Winter,Finland,Cross Country Skiing,Gold
Kerttu Elina Niskanen,F,25.0,172.0,58.0,19.61,Finland,2014,Winter,Finland,Cross Country Skiing,Silver
Kerttu Elina Niskanen,F,25.0,172.0,58.0,19.61,Finland,2014,Winter,Finland,Cross Country Skiing,Silver
Steliana Nistor,F,18.0,149.0,43.0,19.37,Romania,2008,Summer,Romania,Gymnastics,Bronze
Niu Jianfeng,F,23.0,164.0,51.0,18.96,China,2004,Summer,China-2,Table Tennis,Bronze
Koki Niwa,M,21.0,162.0,51.0,19.43,Japan,2016,Summer,Japan,Table Tennis,Silver
Jayson Truett Edward Nix,M,25.0,180.0,89.0,27.47,United States of America,2008,Summer,United States,Baseball,Bronze
Amy Nixon (-Westlund),F,28.0,157.0,54.0,21.91,Canada,2006,Winter,Canada,Curling,Bronze
Denis Gennadyevich Nizhegorodov,M,24.0,174.0,63.0,20.81,Russia,2004,Summer,Russia,Athletics,Silver
Denis Gennadyevich Nizhegorodov,M,28.0,174.0,63.0,20.81,Russia,2008,Summer,Russia,Athletics,Bronze
Ogonna Nneka Nnamani,F,25.0,185.0,80.0,23.37,United States of America,2008,Summer,United States,Volleyball,Silver
Cheryl Noble,F,45.0,168.0,57.0,20.2,Canada,2002,Winter,Canada,Curling,Bronze
Olivia Nobs,F,27.0,170.0,58.0,20.07,Switzerland,2010,Winter,Switzerland,Snowboarding,Bronze
Andrs Marcelo Nocioni Roux,M,24.0,201.0,102.0,25.25,Argentina,2004,Summer,Argentina,Basketball,Gold
Andrs Marcelo Nocioni Roux,M,28.0,201.0,102.0,25.25,Argentina,2008,Summer,Argentina,Basketball,Bronze
Mizuki Noguchi,F,26.0,150.0,40.0,17.78,Japan,2004,Summer,Japan,Athletics,Gold
Owen Liam Nolan,M,29.0,185.0,96.0,28.05,Canada,2002,Winter,Canada,Ice Hockey,Gold
Maike Nollen,F,26.0,174.0,65.0,21.47,Germany,2004,Summer,Germany,Canoeing,Gold
Tadahiro Nomura,M,29.0,164.0,60.0,22.31,Japan,2004,Summer,Japan,Judo,Gold
Daniel Noonan,M,32.0,187.0,90.0,25.74,Australia,2012,Summer,Australia,Rowing,Bronze
Alessandro Nora,M,29.0,191.0,85.0,23.3,Italy,2016,Summer,Italy,Water Polo,Bronze
Anette Charlotte Norberg,F,39.0,174.0,70.0,23.12,Sweden,2006,Winter,Sweden,Curling,Gold
Anette Charlotte Norberg,F,43.0,174.0,70.0,23.12,Sweden,2010,Winter,Sweden,Curling,Gold
"Elina Elisabeth ""Lisa"" Nordn",F,27.0,176.0,60.0,19.37,Sweden,2012,Summer,Sweden,Triathlon,Silver
Sara Maria Evelina Nordenstam,F,25.0,169.0,70.0,24.51,Norway,2008,Summer,Norway,Swimming,Bronze
Fredrik Jan Elis Norrena,M,32.0,183.0,86.0,25.68,Finland,2006,Winter,Finland,Ice Hockey,Silver
"Petter Northug, Jr.",M,24.0,185.0,82.0,23.96,Norway,2010,Winter,Norway,Cross Country Skiing,Bronze
"Petter Northug, Jr.",M,24.0,185.0,82.0,23.96,Norway,2010,Winter,Norway,Cross Country Skiing,Gold
"Petter Northug, Jr.",M,24.0,185.0,82.0,23.96,Norway,2010,Winter,Norway,Cross Country Skiing,Silver
"Petter Northug, Jr.",M,24.0,185.0,82.0,23.96,Norway,2010,Winter,Norway,Cross Country Skiing,Gold
"Daniel James ""Dan"" Norton",M,28.0,180.0,85.0,26.23,United Kingdom,2016,Summer,Great Britain,Rugby Sevens,Silver
Dmitry Yuryevich Nosov,M,24.0,176.0,175.0,56.5,Russia,2004,Summer,Russia,Judo,Bronze
Sergey Valentinovich Novikov,M,30.0,184.0,75.0,22.15,Belarus,2010,Winter,Belarus,Biathlon,Silver
Anastasiya Aleksandrovna Novikova,F,26.0,150.0,53.0,23.56,Belarus,2008,Summer,Belarus,Weightlifting,Bronze
Olga Nikolayevna Novokshchenova,F,29.0,176.0,60.0,19.37,Russia,2004,Summer,Russia,Synchronized Swimming,Gold
Jesper Nddesbo,M,35.0,199.0,100.0,25.25,Denmark,2016,Summer,Denmark,Handball,Gold
Louise Bager Bager Nrgaard (-Due),F,22.0,183.0,73.0,21.8,Denmark,2004,Summer,Denmark,Handball,Gold
Allan Nrregaard Christensen,M,31.0,173.0,67.0,22.39,Denmark,2012,Summer,Denmark,Sailing,Bronze
Tonje Nstvold,F,23.0,178.0,73.77,23.28,Norway,2008,Summer,Norway,Handball,Gold
